Município,Atribuições dos Coordenadores do PNI em Regimento Interno,Fiscalização das Salas de Vacinas pelo Coordenador do PNI,Equipes Completa nas UBS do Município,Análise das Capacitações das Equipes de Vacinação,Enfermeiro Substituto em Todas as UBS,Campanhas de Conscientização em Mídia pela UJ,Vacinação em Crianças de 0-6 Anos nas Escolas durante 2022/2023,Notificações de Alterações de Temperatura em Equipamentos,Registro de Perdas por Validade Expirada de Vacinas,Registro/envio de Falta de Imunobiológicos e Insumos,Turno Estendido nas Unidades Básicas de Saúde,Norma Municipal para Busca Ativa Vacinal,Cobertura Vacinal
João Alfredo,0.5,0,0,1.0,1.0,1,1,1,1,1,0.0,0,0.9858
Condado,0.5,0,1,0.5,1.0,1,0,1,1,0,0.5,0,0.9334749999999999
Salgadinho,0.0,0,1,0.5,1.0,1,0,1,1,1,0.0,0,0.804025
Caetés,0.5,0,1,1.0,0.0,1,1,1,1,1,0.0,1,1.1151
Tracunhaém,0.5,0,0,0.5,0.0,1,1,1,0,0,0.0,0,0.884225
Xexéu,0.5,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.7582
Gameleira,0.0,0,0,0.5,1.0,1,1,1,1,1,0.0,0,0.8921000000000001
Capoeiras,1.0,1,1,1.0,0.0,1,1,1,0,1,0.0,0,0.910425
Toritama,0.5,0,1,0.0,0.0,0,0,1,0,0,0.0,0,0.8274750000000001
Ibimirim,0.5,0,1,1.0,0.0,1,1,0,0,0,0.0,0,0.8129249999999999
Sertânia,1.0,0,1,0.0,0.0,1,1,1,0,0,0.0,1,0.7811
Araçoiaba,0.0,0,0,1.0,0.0,1,1,1,1,1,0.0,1,0.8958250000000001
Santa Maria do Cambucá,0.0,0,1,0.5,1.0,1,1,1,0,0,0.0,0,0.86555
Itambé,0.5,0,1,0.0,0.0,1,1,1,1,0,0.0,0,1.2798
Timbaúba,0.0,0,1,0.5,1.0,1,0,1,1,0,0.5,1,0.97315
Belém de Maria,0.5,0,1,1.0,0.0,1,1,1,1,1,0.0,1,0.70835
Brejão,1.0,1,1,1.0,1.0,1,1,1,1,0,0.0,1,0.98275
Ilha de Itamaracá,0.0,0,1,0.5,0.0,0,0,1,1,0,0.0,0,0.434475
Itaquitinga,0.5,0,1,0.5,0.0,1,0,1,0,0,0.0,0,0.93905
Aliança,0.5,0,1,1.0,0.0,0,1,1,0,0,0.0,1,1.016575
Paulista,1.0,1,0,0.5,1.0,0,0,1,0,0,0.0,0,0.45502499999999996
Maraial,0.0,0,1,0.5,1.0,0,0,1,1,0,0.0,0,0.8757250000000001
Alagoinha,0.5,0,1,0.5,0.0,1,1,0,1,1,0.0,1,0.807275
