Município,CNES,Nome da UBS,Calendário vacinal afixado em local visível,Há controle de acesso por meio de chave ou senha à área das vacinas,A sala de vacina é utilizada exclusivamente para este fim,Marque quais dos itens abaixo estão FALTANDO na sala de vacina inspecionada,Materiais perfurocortantes são descartados adequadamente,As seringas e agulhas estão em recipientes fechados e limpos,Sala de vacina climatizada,Sala de vacina dispõe de paredes e pisos laváveis e de fácil higienização,O equipamento de refrigeração está susceptível à luz solar direta,Como é registrada a data de abertura do frasco em vacinas multidose,Foi verificada a falta de quais vacinas listadas abaixo,Existem caixas térmicas/isopores sendo utilizadas para outras finalidades,A temperatura interna das caixas térmicas/isopor com vacinas está sendo monitorada continuamente,Tipos de equipamentos utilizados para estocagem das vacinas,Equipamento de armazenamento exclusivo para as vacinas,Tomada elétrica é exclusiva do equipamento,Equipamento mal conservado ou com problemas de funcionamento,Mnutenção dentro da data de validade,Painel de exibição de temperatura funcional,Temperatura interna do equipamento está sendo monitorada por termômetro,Temperatura no painel do equipamento entre 2°C e 8°C,Mecanismo de proteção contra queda de energia,Anotações diárias da temperatura em formulário próprio,Houve alteração anormal da temperatura do equipamento que armazena as vacinas,Como é feito o registro da vacinação,Controle pela ESF do acompanhamento das crianças de 0-1 ano de idade com vacinação em atraso,Agentes da ESF realizaram busca ativa de crianças de 0-1 ano com vacinação em atraso em abril/2023,Quantitativo de crianças de 0-1 ano de idade cadastradas na UBS,Quantitativo de crianças de 0-1 ano de idade com calendário vacinal em atraso em abril/2023,Documentos da última supervisão realizada pela Gestão de saúde municipal nas salas de vacinação,Documentos da última manutenção nos equipamentos de refrigeração,Documentos da designação formal do responsável técnico,Cobertura Vacinal
João Alfredo,5708354,Boa vista,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,1,1,1,1,0.0,0,0,0.9858
João Alfredo,878383,Asa Branca,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,1,1,1,1,0.0,0,0,0.9858
João Alfredo,3565394,Neco de Lėo,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,1,1,1,1,1.0,0,0,0.9858
João Alfredo,2636573,Oswaldo Lima,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,1,1,1,1,1.0,0,0,0.9858
João Alfredo,5708362,Frei Damião,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,1,1,1,1,0.0,0,0,0.9858
João Alfredo,2713195,Olho Dágua Cercado,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,0.5,1,1,1,1,1.0,0,0,0.9858
João Alfredo,2712695,Roque,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,1,1,1,1,0.0,0,0,0.9858
João Alfredo,2712652,Melância,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,1,1,1,1,1.0,0,0,0.9858
João Alfredo,2714582,Lagoa Funda,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,1,1,1,1,0.0,0,0,0.9858
João Alfredo,2712725,Campos do Borba,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,1,1,1,1,0.0,0,0,0.9858
João Alfredo,2636557,Brejinhos,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,1,1,1,1,0.0,0,0,0.9858
Condado,2637057,UNIDADE DE SAUDE DA FAMILIA OLEGARIO FONSECA,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,1,0,0.9334749999999999
