Município,PME,Alfabetização na idade certa,LOA para Alfabetização,Adesão ao Programa Criança Alfabetizada,Adesão ao Compromisso Nacional Criança Alfabetizada,Plano de Formação Continuada,Formação para Professores Alfabetizadores,Material Complementar Especifico,Avaliações,Monitoramento Sistemático dos Alunos 1o e 2o,SAEPE - Participação,SAEPE - Proficiência
Carnaíba,1,0,0,0,1,1,1,1,1,1,0.95,0.66
Recife,1,1,1,1,1,1,1,1,1,1,0.89,0.53
Solidão,1,0,0,0,1,1,1,0,1,1,0.99,0.6
Olinda,1,0,0,1,1,0,1,1,1,1,0.98,0.55
Carnaubeira da Penha,1,0,0,0,1,0,0,1,1,1,0.99,0.66
Serra Talhada,1,0,0,1,1,0,1,1,1,1,0.81,0.57
Vicência,1,0,0,1,1,0,1,0,1,1,0.95,0.55
Caruaru,1,0,0,1,1,1,1,0,1,1,0.82,0.49
Buíque,1,0,0,0,1,0,1,1,1,1,0.76,0.51
Itapetim,1,0,0,0,1,0,1,0,1,1,0.85,0.59
Salgueiro,1,0,0,1,1,0.5,0,0,1,1,0.94,0.55
Arcoverde,1,0,0,1,1,0,0,1,1,1,0.89,0.49
Cachoeirinha,1,0,0,1,1,0,0,1,1,1,0.76,0.59
Bonito,1,0,0,0,1,0,1,1,1,0,0.71,0.65
Palmares,1,0,0,0,1,1,0,1,1,1,0.7,0.49
Triunfo,1,0,0,1,1,0,1,0,1,1,0.79,0.54
Petrolina,1,0,0,1,0,0,0,0,1,1,0.92,0.56
Ilha de Itamaracá,1,0,0,0,1,0,1,1,0,1,0.79,0.52
São Vicente Férrer,1,0,0,1,1,0.5,0,0,1,1,0.84,0.53
Custódia,1,0,0,0,1,0,0,1,0,0,0.96,0.68
Camaragibe,1,0,0,1,1,0.5,1,1,0,0,0.86,0.5
Jupi,1,0,0,0,1,0,1,1,0,0,0.94,0.52
Ipubi,1,0,0,1,1,0,0,1,1,1,0.74,0.51
Belém do São Francisco,1,0,0,0,1,0,0,0,1,1,0.81,0.61
São Bento do Una,1,0,0,0,1,0,0,0,1,1,0.91,0.48
